HANDLE	BLOCKNAME	TYPE	AREA	MEDIUM
'28B07	Tag_manual1	P06	P03	M11
'28A7B	Tag_manual1	P06	P06	M11
'28A75	Tag_manual1	P06	P06	M11
'28A6F	Tag_manual1	P06	P06	M11
'28A69	Tag_manual1	P06	P06	M11
'28A63	Tag_manual1	P06	P06	M11
'28A57	Tag_manual1	P06	P06	M11
'28A52	tag automat	P06	P03	M11
'28A32	tag automat	P06	P03	M11
'28A2C	tag automat	P06	P03	M11
'2866D	Tag_manual1	P06	P03	M11
'283A5	Tag_manual1	P06	P03	M09
'280FD	Tag_manual1	P06	P03	M11
'280F8	Tag_manual1	P06	P03	M11
'280F3	Tag_manual1	P06	P03	M11
'280EE	Tag_manual1	P06	P03	M11
'280E4	Tag_manual1	P06	P03	M11
'280D5	Tag_manual1	P06	P03	M09
'280D0	Tag_manual1	P06	P03	M09
'280CB	Tag_manual1	P06	P03	M09
'280C6	Tag_manual1	P06	P03	M11
'280B7	Tag_manual1	P06	P03	M11
'27FF0	Tag_manual1	P06	P03	M11
'27FE8	Tag_manual1	P06	P03	M11
'27FE2	Tag_manual1	P06	P03	M11
'27FDB	Tag_manual1	P06	P03	M11
'27FC8	Tag_manual1	P06	P03	M11
'27FC3	tag automat	P06	P03	M11
'27F70	Tag_manual1	MBV-11	P03	M11
'27F69	Tag_manual1	MBV-11	P03	M11
'27F24	Tag_manual1	MBV-11	P03	M09
'27F1D	Tag_manual1	MBV-11	P03	M09
'27F11	Tag_manual1	HE-01	P03	M09
'27E8A	Tag_automatic	PIT-01	P03	M03
'27BC4	tag automat	CCT-05	P06	M03
'27BBF	tag automat	AGV-05	P06	M03
'27BB1	Tag_manual1	MBV-01	P06	M09
'27B98	tag automat	CCT-03	P03	M03
'27B93	tag automat	AKV-04	P03	M03
'27957	Tag_manual1	FLT-01	P04	M09
'278E3	Tag_manual1	P06	P03	M08
'278DC	Tag_manual1	P06	P03	M08
'2789B	Tag_manual1	P06	P03	M08
'27894	Tag_manual1	P06	P03	M08
'27881	Tag_manual1	P06	P03	M08
'2787C	tag automat	P06	P03	M08
'27830	Tag_automatic	P06	P03	M08
'27826	Tag_automatic	P06	P03	M08
'27813	Tag_manual1	P06	P03	M11
'27689	Tag_manual1	P06	P03	M08
'2762E	Tag_manual1	P06	P03	M05
'27626	Tag_manual1	P06	P03	M08
'26C59	Tag_manual1	P06	P03	M11
'26C4F	Tag_manual1	P06	P03	M09
'26C4A	Tag_manual1	P06	P03	M11
'26C42	Tag_manual1	P06	P03	M11
'26C2E	Tag_automatic	P06	P03	M11
'26C23	Tag_automatic	P06	P03	M11
'26BED	Tag_manual1	P06	P03	M11
'26BE0	Tag_manual1	P06	P03	M11
'26BDA	Tag_manual1	P06	P03	M11
'26BC5	Tag_manual1	P06	P03	M11
'26BC0	Tag_manual1	P06	P03	M11
'26BB7	Tag_manual1	P06	P03	M11
'26BB2	tag automat	P06	P03	M11
'268D1	Tag_manual1	MBV-01	P03	M09
'267E8	tag automat	CCT-05	P06	M03
'267E3	tag automat	AGV-05	P06	M03
'267DC	tag automat	CCT-05	P06	M03
'267D7	tag automat	AGV-05	P06	M03
'267D0	tag automat	CCT-05	P06	M03
'267CB	tag automat	AGV-05	P06	M03
'26708	Tag_manual1	MBV-01	P06	M09
'266F7	Tag_manual1	MBV-01	P06	M09
'266E6	Tag_manual1	MBV-01	P06	M09
'26628	tag automat	CCT-03	P03	M03
'26623	tag automat	AKV-04	P03	M03
'265EE	tag automat	CCT-03	P03	M03
'265E9	tag automat	AKV-04	P03	M03
'265DD	tag automat	CCT-03	P06	M09
'265D8	tag automat	ABV-03	P06	M09
'265D1	tag automat	HLT-02	P06	M03
'265CA	tag automat	LLT-02	P06	M03
'265C1	tag automat	HLT-03	P06	M09
'26593	tag automat	CCT-03	P03	M03
'2658E	tag automat	AKV-04	P03	M03
'26582	tag automat	CCT-03	P06	M09
'2657D	tag automat	ABV-03	P06	M09
'26576	tag automat	HLT-02	P06	M03
'2656F	tag automat	LLT-02	P06	M03
'26566	tag automat	HLT-03	P06	M09
'26266	Tag_manual1	MKV-06	P03	M03
'2625F	Tag_manual1	MKV-06	P03	M03
'26258	Tag_manual1	MKV-06	P03	M03
'26251	Tag_manual1	MKV-06	P03	M03
'26228	tag automat	UVC-01	P03	M09
'26223	tag automat	UV-01	P03	M09
'2620D	tag automat	UVC-01	P03	M09
'26208	tag automat	UV-01	P03	M09
'2619A	tag automat	ATV-01	P05	M09
'26107	Tag_automatic	PIT-01	P03	M03
'25F87	Tag_manual1	CV-01	P04	M01
'25F27	Tag_manual1	MBV-06	P04	M09
'25F1F	Tag_manual1	MBV-06	P04	M09
'25F17	Tag_manual1	MBV-06	P04	M09
'25F0B	Tag_manual1	MBV-06	P04	M09
'25F05	tag automat	UVC-01	P05	M09
'25F00	tag automat	UV-01	P05	M09
'25E73	Tag_manual1	MBV-14	P04	M01
'25D91	Tag_manual1	MBV-14	P04	M01
'25D8A	Tag_manual1	MBV-14	P04	M01
'257D7	Tag_manual1	V-01	P06	M04
'25756	tag automat	PHT-01	P03	M03
'24FC9	Tag_manual1	MBV-11	P03	M09
'24FC1	Tag_manual1	MBV-10	P03	M09
'24FBA	Tag_manual1	MBV-09	P03	M09
'24FB2	Tag_manual1	PI-03	P03	M09
'24FAC	Tag_manual1	PI-04	P03	M09
'24FA7	tag automat	PIT-02	P03	M09
'24F9A	Tag_manual1	FLT-02	P03	M09
'24F94	tag automat	P-03	P03	M09
'24E27	Tag_manual1	TI-01	P03	M09
'24BDE	Tag_automatic	TIT-03	P06	M04
'24BD3	Tag_automatic	TIT-02	P06	M04
'24BCB	Tag_manual1	MBV-04	P06	M04
'24BC4	Tag_manual1	HE-02	P06	M04
'24BBB	Tag_manual1	MBV-02	P06	M04
'24BB4	Tag_manual1	MBV-01	P06	M04
